,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
38784,613,Pakistan,New Zealand,1,71,4,6.98,Auckland,143,59,46.0
32482,546,Pakistan,Sri Lanka,0,41,8,8.79,Colombo,172,92,40.0
29050,509,India,Bangladesh,1,84,9,7.88,Nottingham,180,56,38.0
33473,555,Pakistan,Bangladesh,1,57,10,7.6,St Lucia,172,75,38.0
45122,676,West Indies,Australia,1,48,8,6.4,St Lucia,150,75,38.0
23264,451,Australia,England,0,148,7,11.68,Sydney,221,44,39.0
21163,423,Australia,India,1,126,8,8.79,Sydney,186,34,39.0
12666,156,Pakistan,Australia,4,10,10,8.57,Dubai,147,113,38.0
25882,477,Sri Lanka,Australia,1,71,3,5.13,Cape Town,101,37,37.0
55075,814,South Africa,West Indies,2,163,6,8.29,Cape Town,165,2,33.0
19828,309,Pakistan,England,0,0,10,0.0,Manchester,190,119,33.0
57468,836,Pakistan,Sri Lanka,1,7,10,6.0,Colombo,175,113,37.0
22807,447,Sri Lanka,England,0,158,2,8.24,Southampton,163,5,41.0
29264,513,Australia,Sri Lanka,4,40,9,9.23,Nottingham,159,94,46.0
25706,476,India,England,0,37,10,6.53,Durban,218,86,44.0
42365,652,Pakistan,New Zealand,1,11,10,4.71,Pallekele,177,106,45.0
17191,242,New Zealand,England,2,37,10,20.18,Auckland,146,109,48.0
31504,538,New Zealand,West Indies,0,54,8,7.71,Auckland,155,78,41.0
52987,794,Sri Lanka,England,4,35,9,7.5,Chittagong,189,92,35.0
3927,55,Bangladesh,Sri Lanka,1,82,8,9.46,Colombo,176,68,35.0
64114,957,Sri Lanka,India,1,76,6,5.77,Mirpur,138,41,36.0
52151,785,Pakistan,India,1,66,7,5.82,Mirpur,130,52,31.0
2859,34,New Zealand,England,0,169,7,9.39,Wellington,196,12,27.0
37058,587,Pakistan,New Zealand,1,71,8,7.75,Dubai,153,65,31.0
28972,508,Australia,West Indies,1,144,4,8.0,London,169,12,29.0
25066,471,Pakistan,Sri Lanka,0,22,9,6.95,Johannesburg,189,101,30.0
30936,531,Sri Lanka,West Indies,2,106,7,6.69,London,158,25,30.0
51241,752,Sri Lanka,Pakistan,1,210,8,10.59,Dubai,211,1,33.0
10298,134,South Africa,Sri Lanka,2,63,9,7.13,Centurion,180,67,34.0
17259,243,New Zealand,India,6,19,10,9.5,Auckland,203,108,35.0
10350,134,South Africa,Sri Lanka,1,142,7,8.35,Centurion,180,18,35.0
40126,624,Sri Lanka,Australia,0,53,9,9.35,Pallekele,157,86,41.0
51648,770,Sri Lanka,England,2,50,8,7.69,London,183,81,39.0
31413,537,India,New Zealand,0,92,7,7.36,Wellington,149,45,40.0
58485,867,England,Pakistan,1,30,7,5.62,Dubai,160,88,39.0
40342,626,Australia,India,1,3,10,4.5,Melbourne,131,116,43.0
5296,70,Pakistan,New Zealand,6,69,10,9.2,Auckland,201,75,42.0
21836,440,South Africa,England,1,12,9,4.0,Cape Town,179,102,43.0
10383,135,South Africa,Sri Lanka,0,9,10,4.15,Johannesburg,198,107,42.0
30274,525,England,India,1,59,9,7.08,London,153,70,43.0
10866,139,Australia,India,1,89,7,7.03,Sydney,164,44,46.0
63961,955,Bangladesh,Sri Lanka,0,53,7,6.12,Mirpur,147,68,47.0
53131,795,Australia,West Indies,1,52,7,7.09,Mirpur,178,76,48.0
4735,65,Sri Lanka,India,4,56,8,10.18,Colombo,170,87,43.0
25276,472,New Zealand,England,1,140,3,8.24,Durban,164,18,43.0
35573,575,West Indies,Australia,1,40,8,6.86,St Lucia,105,85,43.0
26827,485,New Zealand,England,1,51,7,5.46,Manchester,123,64,40.0
12606,155,Pakistan,Australia,0,86,9,7.59,Abu Dhabi,155,52,40.0
57981,860,South Africa,Australia,0,47,9,11.28,Cape Town,178,95,40.0
42998,658,South Africa,Pakistan,1,18,9,4.32,Colombo,133,95,39.0
40237,625,Australia,India,3,36,10,10.29,Sydney,171,99,36.0
35471,574,India,Sri Lanka,1,85,9,8.64,St Lucia,163,61,34.0
